time	I(L1)
Step Information: Lin=10n  (Run: 1/7)
1.647062539348906e-004	9.845417e+000
1.649992226848906e-004	9.832188e+000
1.652921914348906e-004	9.819534e+000
1.655851601848906e-004	9.807626e+000
1.658781289348906e-004	9.796618e+000
1.661710976848906e-004	9.786652e+000
1.664640664348906e-004	9.777853e+000
1.667570351848906e-004	9.770331e+000
1.670500039348906e-004	9.764176e+000
1.673429726848905e-004	9.759459e+000
1.676359414348905e-004	9.756227e+000
1.679289101848905e-004	9.754511e+000
1.682218789348905e-004	9.754318e+000
1.685148476848905e-004	9.755635e+000
1.688078164348905e-004	9.758427e+000
1.691007851848905e-004	9.762640e+000
1.693937539348905e-004	9.768200e+000
1.696867226848905e-004	9.775018e+000
1.699796914348905e-004	9.782985e+000
1.702726601848905e-004	9.791979e+000
1.705656289348905e-004	9.801864e+000
1.708585976848905e-004	9.812495e+000
1.711515664348905e-004	9.823718e+000
1.714445351848905e-004	9.835371e+000
1.717375039348905e-004	9.847289e+000
1.720304726848905e-004	9.859304e+000
1.723234414348905e-004	9.871252e+000
1.726164101848905e-004	9.882965e+000
1.729093789348905e-004	9.894286e+000
1.732023476848904e-004	9.905064e+000
1.734953164348904e-004	9.915155e+000
1.737882851848904e-004	9.924430e+000
1.740812539348904e-004	9.932767e+000
1.743742226848904e-004	9.940063e+000
1.746671914348904e-004	9.946227e+000
1.749601601848904e-004	9.951189e+000
1.752531289348904e-004	9.954893e+000
1.755460976848904e-004	9.957302e+000
1.758390664348904e-004	9.958398e+000
1.761320351848904e-004	9.958179e+000
1.764250039348904e-004	9.956661e+000
1.767179726848904e-004	9.953883e+000
1.770109414348904e-004	9.949895e+000
1.773039101848904e-004	9.944765e+000
1.775968789348904e-004	9.938577e+000
1.778898476848904e-004	9.931427e+000
1.781828164348904e-004	9.923425e+000
1.784757851848904e-004	9.914690e+000
1.787687539348903e-004	9.905350e+000
1.790617226848903e-004	9.895540e+000
1.793546914348903e-004	9.885400e+000
1.796476601848903e-004	9.875072e+000
1.799406289348903e-004	9.864702e+000
1.802335976848903e-004	9.854431e+000
1.805265664348903e-004	9.844400e+000
1.808195351848903e-004	9.834744e+000
1.811125039348903e-004	9.825592e+000
1.814054726848903e-004	9.817064e+000
1.816984414348903e-004	9.809271e+000
1.819914101848903e-004	9.802311e+000
1.822843789348903e-004	9.796272e+000
1.825773476848903e-004	9.791228e+000
1.828703164348903e-004	9.787237e+000
1.831632851848903e-004	9.784342e+000
1.834562539348903e-004	9.782571e+000
1.837492226848903e-004	9.781939e+000
1.840421914348903e-004	9.782439e+000
1.843351601848902e-004	9.784054e+000
1.846281289348902e-004	9.786750e+000
1.849210976848902e-004	9.790478e+000
1.852140664348902e-004	9.795176e+000
1.855070351848902e-004	9.800766e+000
1.858000039348902e-004	9.807165e+000
1.860929726848902e-004	9.814275e+000
1.863859414348902e-004	9.821989e+000
1.866789101848902e-004	9.830194e+000
1.869718789348902e-004	9.838775e+000
1.872648476848902e-004	9.847606e+000
1.875578164348902e-004	9.856564e+000
1.878507851848902e-004	9.865523e+000
1.881437539348902e-004	9.874362e+000
1.884367226848902e-004	9.882958e+000
1.887296914348902e-004	9.891197e+000
1.890226601848902e-004	9.898968e+000
1.893156289348902e-004	9.906170e+000
1.896085976848902e-004	9.912708e+000
1.899015664348902e-004	9.918502e+000
1.901945351848901e-004	9.923479e+000
1.904875039348901e-004	9.927580e+000
1.907804726848901e-004	9.930757e+000
1.910734414348901e-004	9.932977e+000
1.913664101848901e-004	9.934219e+000
1.916593789348901e-004	9.934479e+000
1.919523476848901e-004	9.933763e+000
1.922453164348901e-004	9.932090e+000
1.925382851848901e-004	9.929496e+000
1.928312539348901e-004	9.926025e+000
1.931242226848901e-004	9.921736e+000
1.934171914348901e-004	9.916697e+000
1.937101601848901e-004	9.910984e+000
1.940031289348901e-004	9.904683e+000
1.942960976848901e-004	9.897888e+000
1.945890664348901e-004	9.890698e+000
1.948820351848901e-004	9.883217e+000
1.951750039348901e-004	9.875549e+000
1.954679726848901e-004	9.867802e+000
1.957609414348900e-004	9.860085e+000
1.960539101848900e-004	9.852501e+000
1.963468789348900e-004	9.845155e+000
1.966398476848900e-004	9.838145e+000
1.969328164348900e-004	9.831563e+000
